page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link
Kaysee Gregorio,female,0,Philippines,770151,Facebook,Valorant,Mobile Legends,unavailable,2/18/2021,https://www.facebook.com/itskaysee/
HerbertwY,male,0,Philippines,21837,Facebook,Valorant,Fall Guys,CS:GO,3/29/2019,https://www.facebook.com/HerbertwY/
Buunja,female,0,Philippines,924504,Facebook,Wildrift,Valorant,League of Legends,9/14/2018,https://www.facebook.com/Buunja/
Nuts about Gaming,female,0,Philippines,87160,Facebook,Valorant,Warzone,PUBG,4/14/2018,https://www.facebook.com/NutsAboutGaming
GianSanity,male,0,Philippines,132971,Facebook,Valorant,Apex,unavailable,2/23/2019,https://www.facebook.com/watch/GianSanityFPS/
Christine Samson,female,0,Philippines,2039520,Facebook,Call of Duty: Mobile,unavailable,unavailable,7/24/2019,https://www.facebook.com/christinesamsonn
Aeriel Ann Garcia,female,21,Philippines,413362,Facebook,PUBG,unavailable,unavailable,5/25/2018,https://www.facebook.com/aerielgrcia/
Mika Daime,female,0,Philippines,189237,Facebook,Valorant,League of Legends,unavailable,1/19/2016,https://www.facebook.com/DaimeMika/
SketcyWolf,male,0,Philippines,44605,Facebook,Valorant,PUBG,CS:GO,10/30/2018,https://www.facebook.com/SketchyWolf-295428434607585
Occidere Gaming,male,0,Philippines,2752,Facebook,Valorant,Pacify,unavailable,6/24/2020,https://www.facebook.com/OccidereGaming/
Thug Gaming PH,male,0,Philippines,22786,Facebook,Valorant,Rules  of Survial,unavailable,4/29/2018,https://www.facebook.com/thuggamingph/
Chammie,female,0,Philippines,12093,Facebook,Valorant,unavailable,unavailable,10/04/2020,https://www.facebook.com/Sammiecham/
Yohannade,female,0,Philippines,207,Facebook,Valorant,unavailable,unavailable,12/25/2020,https://www.facebook.com/yohannadeee/
GenjiPewpew,male,0,Philippines,326,Facebook,Valorant,Grand Chase,League of Legends,9/14/2020,https://www.facebook.com/gijenlive/
Potparis,female,0,Philippines,1691,Facebook,Valorant,League of Legends,unavailable,9/26/2020,https://www.facebook.com/PotpotParis/
KOGChaos gaming,male,0,Philippines,7152,Facebook,Valorant,Genshin Impact,Fall Guys,09/11/2020,https://www.facebook.com/KOGChaosPH/
Godrilla Squad,male,0,Philippines,667,Facebook,Valorant,League of Legends,Grand Chase ,2/14/2020,https://www.facebook.com/godrillasquad/
JNSEN,male,0,Philippines,291,Facebook,Valorant,DOTA 2,unavailable,8/26/2020,https://www.facebook.com/Jansenity/
s1nx,male,0,Philippines,669,Facebook,Valorant,League of Legends,Genshin Impact,8/29/2020,https://www.facebook.com/itsS1NX/
Ardeeyar,male,0,Philippines,372,Facebook,Valorant,Resident Evil 2 Remake,unavailable,11/30/2020,https://www.facebook.com/ardeeyar/
Lueur,female,0,Philippines,36726,Facebook,Valorant,League of Legends,unavailable,7/24/2019,https://www.facebook.com/lueurlolph/
Ghost Gaming ,male,0,Philippines,769,Facebook,Valorant,Mobile Legends,DOTA 2,06/12/2020,https://www.facebook.com/ghostggph/
Cute Potato Gaming,female,22,Philippines,5705,Facebook,Valorant,League of Legends,unavailable,7/31/2020,https://www.facebook.com/CutePotatorere/
Kristel Millado,female,0,Philippines,2165205,Facebook,Call of Duty: Mobile,Mobile Legends,Rules of Survival,2/13/2019,https://www.facebook.com/kristelmillado24/
Jacques Gaming ,male,0,Philippines,547,Facebook,League of Legends,Valorant,GTA V,10/05/2020,https://www.facebook.com/JacquesGaming09/
